ranking,id_cliente,segmento,perfil_risco,tipo_cliente,prioridade,score_gap_total,pl_brl,pct_offshore,pct_cdi,saldo_conta_global_usd,caixa_parado_usd,dias_sem_remessa,dolar_medio_compra,motivo_principal,cluster_nome,cluster
1,G1218,Investidor,Moderado,PF,CRÍTICO,80.25,646617.67,0.0149,0.8066,103696.58,44228.05,60,7.1005,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
2,G0138,Qualificado,Conservador,PF,CRÍTICO,78.75,220092.1,0.0,0.7982,28750.39,9340.67,60,6.706,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
3,G0105,Qualificado,Conservador,PF,CRÍTICO,77.25,328294.39,0.0,0.7091,18281.61,10478.56,191,5.4387,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
4,G1196,Investidor,Conservador,PJ,CRÍTICO,77.0,1089372.36,0.0,0.7294,106596.34,47413.99,58,5.2995,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
5,G2546,Alta Renda,Moderado,PF,CRÍTICO,76.5,30000000.0,0.0,0.6116,88525.22,33859.17,52,7.071,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
6,G0092,Qualificado,Moderado,PJ,CRÍTICO,76.25,208268.58,0.0,0.9086,15184.3,1721.16,92,5.9044,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
7,G1742,Investidor,Conservador,PF,CRÍTICO,76.0,3045102.7,0.0,0.7652,43702.38,11678.75,44,6.5913,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
8,G2381,Alta Renda,Moderado,PF,CRÍTICO,75.75,5401165.02,0.0,0.4025,227954.19,91712.4,25,7.5638,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
9,G1725,Investidor,Conservador,PF,CRÍTICO,75.5,522651.51,0.0,0.7521,104429.33,30770.21,139,4.3505,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
10,G1193,Investidor,Conservador,PF,CRÍTICO,75.5,1439696.47,0.0,0.4982,42741.53,24114.51,60,7.4678,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
11,G0727,Investidor,Conservador,PF,CRÍTICO,74.5,733490.44,0.0,0.5055,147111.54,31291.13,70,6.9881,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
12,G0003,Qualificado,Moderado,PF,CRÍTICO,74.5,265644.57,0.0,0.6445,27966.62,14039.76,48,5.9574,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
13,G1896,Alta Renda,Moderado,PF,CRÍTICO,74.25,13222466.52,0.0,0.4604,215968.5,88661.59,115,4.0679,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
14,G1690,Investidor,Moderado,PF,CRÍTICO,73.5,1737274.11,0.0,0.4731,60072.87,22580.4,120,5.9258,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
15,G0366,Qualificado,Conservador,PJ,CRÍTICO,73.0,500000.0,0.0,0.5883,21791.67,3267.88,91,6.4105,Concentração no Brasil (risco país),Urgente — Grande Gap Offshore,0
